Date,CPI_CPI,XRP_Open,XRP_High,XRP_Low,XRP_Close,XRP_Adj Close,XRP_Volume,DJIA_DJIA,STICKY_STICKY,Ethereum_Open,Ethereum_High,Ethereum_Low,Ethereum_Close,Ethereum_Adj Close,Ethereum_Volume,Litecoin_Open,Litecoin_High,Litecoin_Low,Litecoin_Close,Litecoin_Adj Close,Litecoin_Volume,Bitcoin_Open,Bitcoin_High,Bitcoin_Low,Bitcoin_Close,Bitcoin_Adj Close,Bitcoin_Volume,Cardano_Open,Cardano_High,Cardano_Low,Cardano_Close,Cardano_Adj Close,Cardano_Volume,10Y_Inflation_10Y_Inflation,VIX_OPEN,VIX_HIGH,VIX_LOW,VIX_CLOSE,real_interest_rate_10Y_real_interest_rate_10Y,SP500_SP500,BNB_Open,BNB_High,BNB_Low,BNB_Close,BNB_Adj Close,BNB_Volume
2020-04-25,256.092,0.193685,0.196545,0.19314,0.195054,0.195054,1648491142.0,23894.77333333333,2.226352,189.207397,196.792374,188.459534,195.515305,195.515305,18260969748.0,44.815205,45.647766,44.370213,44.714909,44.714909,4769855704,7550.48291,7641.36377,7521.672363,7569.936035,7569.936035,32941541447,0.04187,0.043669,0.041398,0.042408,0.042408,101619889.0,1.1,40.03666666666666,40.2,34.57,35.05,-0.11159442,2850.653333333333,16.013018,16.423733,15.958486,16.305418,16.305418,362345240.0
2020-04-26,256.092,0.195033,0.197215,0.194504,0.196805,0.196805,1692427521.0,24014.276666666665,2.226352,195.413589,199.344971,194.768066,197.317535,197.317535,18335367012.0,44.719917,45.339993,44.31263,44.689087,44.689087,4687873111,7570.13916,7700.594238,7561.407715,7679.867188,7679.867188,33070154491,0.042405,0.046224,0.042232,0.045879,0.045879,150611027.0,1.1,38.16333333333333,38.32,33.54,34.17,-0.11159442,2864.5666666666666,16.30323,16.483435,16.199301,16.383768,16.383768,400076436.0
2020-04-27,256.092,0.1967,0.199275,0.195437,0.197978,0.197978,1792695610.0,24133.78,2.226352,197.475723,199.552795,193.454163,197.224716,197.224716,18670194595.0,44.677433,45.419842,43.88546,44.710064,44.710064,4473729902,7679.418945,7795.601074,7679.418945,7795.601074,7795.601074,36162144725,0.045938,0.047672,0.044644,0.046601,0.046601,168989554.0,1.1,36.29,36.44,32.51,33.29,-0.11159442,2878.48,16.429043,16.66411,16.209511,16.463215,16.463215,389838383.0
2020-04-28,256.092,0.198046,0.218108,0.196372,0.215484,0.215484,2515531348.0,24101.55,2.226352,197.273514,198.786545,194.849426,198.41539,198.41539,18217507467.0,44.738171,46.307301,44.074818,46.028702,46.028702,4413476561,7796.970215,7814.527344,7730.806641,7807.058594,7807.058594,33187959921,0.04663,0.048065,0.046265,0.047195,0.047195,144584235.0,1.1,33.21,35.39,30.54,33.57,-0.11159442,2863.39,16.447828,16.566999,16.278233,16.444286,16.444286,361059754.0
2020-04-29,256.092,0.215562,0.229627,0.213436,0.227432,0.227432,3041995823.0,24633.86,2.226352,198.465195,218.454636,198.124512,216.968231,216.968231,26397548759.0,46.091522,49.622128,46.007324,49.181301,49.181301,5673988960,7806.712402,8871.753906,7786.049316,8801.038086,8801.038086,60201052203,0.04723,0.051997,0.047019,0.051695,0.051695,192508666.0,1.1,32.48,33.19,30.71,31.23,-0.11159442,2939.51,16.447243,17.546227,16.373192,17.493774,17.493774,463165164.0
2020-04-30,256.092,0.227169,0.235703,0.211577,0.212761,0.212761,3145263527.0,24345.72,2.226352,216.909134,227.529694,206.43692,207.602051,207.602051,28089191904.0,49.147854,50.921558,46.583843,46.71402,46.71402,5724477325,8797.669922,9440.650391,8533.255859,8658.553711,8658.553711,66964629541,0.051717,0.054257,0.047565,0.047846,0.047846,242494651.0,1.1,30.99,35.94,30.93,34.15,-0.11159442,2912.43,17.447788,18.129528,16.780251,17.033976,17.033976,498015944.0
2020-05-01,255.868,0.212858,0.224771,0.212795,0.219248,0.219248,2306876493.0,23723.69,2.084208,207.901733,217.628021,207.780884,214.219101,214.219101,20816320834.0,46.714264,48.596474,46.714264,47.791702,47.791702,4581731065,8672.782227,9048.023438,8667.763672,8864.766602,8864.766602,44068389997,0.047826,0.051955,0.047776,0.05126,0.05126,169546437.0,1.12,38.17,39.57,36.59,37.19,-0.02785652,2830.71,17.046522,17.8927,17.026531,17.564993,17.564993,453439052.0
2020-05-02,255.868,0.219275,0.225606,0.217248,0.223914,0.223914,2170661654.0,23732.38,2.084208,214.230087,215.847534,212.878677,215.325378,215.325378,18260876092.0,47.770359,49.567081,47.448662,49.458046,49.458046,4453777871,8869.057617,9007.1875,8811.366211,8988.59668,8988.59668,40134388683,0.051196,0.05151,0.049891,0.051014,0.051014,128138136.0,1.12,38.49,39.82,36.23666666666667,36.78333333333333,-0.02785652,2834.72,17.551817,17.628757,17.406445,17.584904,17.584904,393955300.0
2020-05-03,255.868,0.224064,0.22634,0.217737,0.219414,0.219414,2182399826.0,23741.07,2.084208,215.352066,219.270874,208.692368,210.933151,210.933151,20469034664.0,49.464958,50.044678,47.550114,48.267159,48.267159,4667453994,8983.614258,9167.78125,8830.97168,8897.46875,8897.46875,47101785174,0.051032,0.051691,0.048311,0.048929,0.048929,139890791.0,1.12,38.81,40.07,35.88333333333333,36.376666666666665,-0.02785652,2838.73,17.581791,17.798849,17.027967,17.126299,17.126299,381109061.0
2020-05-04,255.868,0.219451,0.220608,0.210598,0.218963,0.218963,2462194723.0,23749.76,2.084208,210.890854,211.828384,199.047729,208.174011,208.174011,22602446422.0,48.243027,48.346298,46.037292,47.473492,47.473492,4488284400,8895.745117,8956.90625,8645.024414,8912.654297,8912.654297,45718796276,0.048964,0.050228,0.046523,0.049664,0.049664,172243659.0,1.12,39.13,40.32,35.53,35.97,-0.02785652,2842.74,17.135752,17.355347,16.462002,17.100756,17.100756,390548947.0
2020-05-05,255.868,0.21891,0.221752,0.215441,0.216463,0.216463,2104127661.0,23883.09,2.084208,208.013,211.778625,204.031128,206.774399,206.774399,19004689099.0,47.450291,47.905041,46.370968,46.787258,46.787258,4187625277,8912.832031,9062.415039,8856.827148,9003.070313,9003.070313,43148462663,0.049668,0.050502,0.049049,0.049358,0.049358,128066778.0,1.12,34.82,36.22,31.95,33.61,-0.02785652,2868.44,17.088411,17.322493,16.727106,16.919775,16.919775,358987881.0
2020-05-06,255.868,0.216284,0.222338,0.21521,0.21521,0.21521,2159327467.0,23664.64,2.084208,206.481354,211.534622,204.040878,204.055786,204.055786,20343543799.0,46.768917,47.778015,45.942867,45.942867,45.942867,4575858023,9007.441406,9411.467773,8966.706055,9268.761719,9268.761719,49371886931,0.049302,0.051128,0.048983,0.049767,0.049767,131357244.0,1.12,32.69,35.69,31.68,34.12,-0.02785652,2848.42,16.906801,17.157682,16.657045,16.657045,16.657045,364717662.0
